"bitter","bittersweet","mild","smoky","rich","sweet","sour","salty","spicy","juicy","fruity","oily","crunchy","dry","wet","creamy","plain","soft","hard","taste"
62,89,86,61,15,99,55,57,20,48,94,95,97,91,54,8,50,84,49,1
13,19,72,45,58,91,31,6,80,58,74,71,15,7,3,45,26,46,55,0
32,64,97,60,75,40,39,77,29,32,11,49,83,10,63,34,84,96,28,0
49,79,98,98,2,5,95,8,95,35,35,77,62,73,19,4,99,89,91,1
38,99,53,30,6,96,41,57,41,2,60,55,45,97,8,22,77,6,31,0
2,81,63,92,43,24,90,90,58,35,37,94,34,29,96,79,69,34,75,0
6,82,62,6,6,80,17,20,93,50,80,1,2,66,27,21,18,32,68,0
32,98,70,96,6,73,11,59,4,99,35,92,71,44,74,100,84,13,53,1
82,38,66,68,70,53,6,22,21,69,64,33,54,60,32,40,55,63,24,0
10,1,22,87,73,28,24,78,88,91,60,79,6,57,86,33,52,61,47,0
1,85,28,24,25,77,93,57,41,69,78,46,64,61,59,13,66,88,10,0
57,17,42,36,78,77,45,97,47,70,41,51,25,22,79,21,50,58,68,1
25,47,64,66,19,45,51,30,92,60,49,59,61,96,15,73,39,29,53,0
1,71,84,25,93,11,64,76,14,47,18,76,40,22,51,49,73,17,97,1
14,85,83,12,22,17,90,25,5,94,69,66,24,50,71,56,3,35,9,1
97,97,91,21,32,87,69,26,48,99,47,36,26,98,83,80,84,82,13,1
5,31,42,20,49,59,90,78,30,38,70,16,12,63,47,43,85,51,81,1
85,91,13,19,81,51,85,75,7,75,29,82,9,52,90,19,24,1,67,0
67,25,95,74,51,89,45,48,15,81,42,58,86,78,54,6,84,6,5,0
26,85,24,62,29,3,47,40,58,38,78,50,47,60,41,40,16,41,19,1
38,12,84,18,69,17,24,57,1,95,33,66,37,42,79,13,2,54,42,1
97,90,84,17,36,71,73,28,37,94,11,6,82,100,7,34,4,7,69,1
24,45,35,97,57,76,87,60,41,43,17,51,21,45,31,48,2,67,52,1
37,61,74,64,76,46,32,41,80,18,33,36,33,74,19,43,82,93,16,1
36,76,13,25,52,20,41,56,67,77,96,98,63,1,73,79,94,4,84,0
77,68,79,46,88,60,19,89,15,25,36,7,91,65,74,78,78,35,36,0
51,91,76,60,86,53,30,91,94,60,39,75,5,7,35,39,84,58,49,0
7,98,68,14,21,86,15,79,99,2,89,61,41,1,35,35,2,9,75,1
45,85,91,67,17,33,82,89,15,52,25,80,73,19,51,94,100,52,89,1
49,97,24,74,55,54,99,23,95,6,37,17,36,29,40,71,33,90,25,1
83,61,3,87,30,26,10,24,31,73,1,7,3,87,89,22,67,15,3,0
75,43,76,62,21,12,93,64,61,92,58,87,44,89,3,85,6,99,47,1
69,86,82,19,53,20,3,61,10,49,49,22,25,66,62,84,61,7,46,1
14,27,48,54,17,71,24,13,54,78,69,48,88,90,45,9,58,76,17,0
13,54,64,66,98,21,86,54,98,21,90,73,52,14,13,48,97,38,80,0
14,70,89,41,86,13,8,19,39,71,49,13,90,58,71,25,62,27,88,0
34,63,96,13,49,57,34,55,78,14,75,44,85,71,98,51,21,82,35,1
1,99,11,40,18,39,98,29,78,85,4,36,41,8,65,26,66,25,29,0
60,88,5,81,66,90,56,21,48,19,20,80,65,42,91,33,98,8,89,0
59,48,23,69,30,56,20,80,92,15,99,69,93,97,43,82,67,30,31,0
54,36,54,45,77,87,2,89,100,56,45,86,73,53,46,92,82,2,20,0
31,14,97,22,22,70,52,99,29,21,86,32,43,40,20,1,91,27,69,0
50,67,84,70,48,100,82,76,31,5,29,66,49,20,84,70,88,61,22,1
60,45,15,29,42,68,24,31,51,44,27,41,18,60,14,71,41,67,82,1
15,3,88,52,35,88,12,64,96,69,35,7,70,40,81,68,27,50,99,1
97,45,39,76,34,70,81,35,11,33,88,58,36,61,95,73,9,41,39,1
54,45,38,61,55,21,39,34,94,45,2,83,57,61,36,19,85,36,10,1
11,53,85,69,56,54,66,2,90,96,33,81,49,28,63,14,53,80,26,0
9,40,93,10,100,9,86,69,84,63,90,28,92,72,43,58,34,92,37,0
26,80,80,9,58,40,92,52,44,70,59,98,47,97,68,99,8,6,45,1
90,89,22,11,78,18,5,23,68,34,54,17,55,45,34,47,5,31,24,1
95,97,50,99,14,33,18,95,68,17,60,33,85,11,20,39,83,56,80,0
11,74,14,17,46,4,55,1,75,82,17,44,93,18,52,63,94,53,36,1
24,99,49,9,9,16,95,34,74,17,71,37,29,19,54,42,65,85,18,1
42,79,1,1,2,40,60,89,85,48,70,76,40,56,74,1,68,34,11,1
10,42,49,86,36,34,48,92,57,13,87,16,42,42,3,32,49,45,64,0
17,51,81,48,73,4,27,41,21,79,50,61,59,32,50,98,86,100,56,1
29,5,12,25,2,96,61,61,19,52,62,89,82,4,43,55,56,52,6,0
15,18,86,90,31,64,69,62,43,38,34,87,5,45,86,51,41,79,47,0
92,5,72,22,75,48,57,17,76,56,20,55,94,21,97,90,40,93,98,1
24,19,44,52,93,99,65,24,62,60,45,3,87,9,97,99,93,91,84,0
57,17,4,98,26,73,75,3,43,20,98,58,72,7,75,19,12,56,40,1
87,85,77,87,29,56,98,41,37,55,12,58,79,61,39,100,74,50,67,1
51,71,52,82,71,94,46,53,59,22,99,96,29,97,49,24,7,8,42,0
25,97,93,88,43,83,7,79,33,62,15,84,85,16,9,27,39,15,84,0
55,16,78,15,7,6,82,21,8,8,67,92,62,37,81,39,34,69,4,0
54,17,18,16,91,28,81,8,59,34,99,34,1,47,83,54,19,55,86,0
88,99,26,96,22,45,25,11,13,96,48,90,37,42,91,17,15,58,37,1
47,60,74,80,30,28,44,51,11,98,44,55,43,38,21,100,43,15,9,1
38,86,58,36,14,70,56,23,30,93,85,70,65,50,80,46,49,71,57,0
68,62,1,95,21,70,32,45,32,88,6,3,75,77,52,52,25,38,1,1
9,81,42,95,99,84,3,34,11,99,26,55,85,86,33,1,94,3,53,0
74,26,92,68,63,98,56,94,25,67,36,26,50,49,66,89,45,95,57,1
20,68,31,79,1,24,51,93,81,82,10,100,39,97,17,76,43,54,75,1
65,54,25,38,3,75,95,88,17,29,86,85,43,86,88,78,82,67,95,0
23,1,66,38,25,91,51,28,24,87,16,78,24,16,63,17,98,89,93,0
77,56,75,72,33,81,61,81,32,4,41,70,54,57,77,28,68,37,84,1
39,3,59,34,60,64,89,49,94,27,93,80,45,28,53,38,48,28,56,1
44,54,15,72,57,49,51,52,54,55,60,88,57,8,2,61,47,58,1,0
42,29,95,66,77,62,2,77,87,30,70,40,46,44,59,85,75,59,7,1
88,5,85,26,36,30,56,48,55,7,1,85,61,67,17,25,33,37,63,1
55,12,77,34,99,56,49,49,16,92,95,87,55,48,4,32,39,8,91,1
42,48,59,21,83,79,93,2,68,29,83,86,24,11,39,5,94,29,68,0
9,24,76,70,91,94,49,86,34,6,83,85,50,9,19,15,92,57,72,1
39,86,27,43,9,63,66,40,6,90,99,9,9,82,63,72,32,14,27,0
92,27,94,24,99,38,62,61,86,18,9,65,35,5,47,59,43,17,60,0
68,96,55,45,11,81,9,8,7,9,10,97,86,82,13,34,88,75,13,1
99,66,64,13,92,33,12,86,13,11,33,33,78,4,97,67,46,27,16,0
52,45,22,86,26,84,99,81,74,49,12,32,85,68,22,58,12,41,50,0
15,56,45,72,98,67,33,36,47,31,91,76,86,13,85,8,50,31,82,0
54,78,81,24,40,72,71,27,23,79,55,85,72,60,17,19,78,90,5,0
34,81,49,29,3,50,39,53,21,85,64,7,40,36,41,76,86,50,4,1
86,84,66,65,1,14,70,47,12,47,49,84,93,45,29,25,94,25,13,1
6,88,73,73,57,59,9,19,90,49,44,75,18,52,28,6,28,19,2,1
59,50,39,84,70,42,43,22,92,75,31,40,8,88,27,23,13,2,21,0
85,11,19,36,32,80,11,13,55,56,68,33,6,60,57,36,73,14,6,1
87,7,64,57,74,73,100,20,74,8,21,99,96,42,93,16,62,50,54,0
58,70,74,55,31,32,61,5,37,86,20,80,95,90,36,18,77,91,81,0
72,16,61,48,32,26,72,20,42,83,7,61,19,24,93,38,48,81,35,0
65,4,66,41,26,8,20,79,10,60,28,50,30,90,92,74,92,26,90,0
22,99,61,30,66,30,56,63,60,87,41,47,2,48,7,36,8,9,80,0
29,44,74,92,1,39,7,63,17,70,72,31,44,59,27,71,45,18,99,1
100,56,15,85,76,25,43,45,73,87,96,77,33,95,29,41,83,29,61,0
14,88,2,70,21,63,84,47,35,41,68,90,97,9,95,55,34,46,42,0
51,71,76,36,81,65,9,79,85,31,76,56,62,13,81,3,40,20,18,1
11,79,60,80,79,85,46,58,22,75,44,91,18,6,86,6,78,26,46,0
14,63,27,45,68,25,27,72,83,84,6,78,99,9,76,69,64,41,69,0
64,6,30,49,93,43,1,10,42,100,32,58,52,13,57,13,62,6,56,1
5,25,3,82,48,22,24,85,63,68,64,29,66,35,57,23,73,44,45,1
55,15,84,74,7,52,75,54,81,70,44,8,16,1,84,31,22,37,46,1
31,36,18,86,37,67,83,44,99,9,29,82,39,40,49,10,93,29,34,1
57,59,18,41,34,69,74,15,74,72,53,20,88,44,61,28,58,88,33,0
86,82,60,55,19,70,8,72,91,26,24,73,52,66,72,43,79,2,28,0
72,61,73,14,52,100,74,95,45,30,15,22,72,2,81,99,13,90,92,1
14,78,13,56,97,10,60,47,46,43,16,32,83,75,83,94,24,35,83,0
74,84,38,96,57,34,9,75,17,37,6,38,24,23,86,43,61,93,75,1
56,82,26,80,19,87,37,89,42,90,17,35,35,34,34,67,21,16,93,0
59,34,97,93,71,29,10,28,21,60,23,72,61,65,53,46,89,88,91,1
29,83,64,85,11,95,72,67,74,24,5,42,11,97,14,54,1,83,63,0
59,37,86,97,30,53,64,35,29,70,8,22,92,48,13,34,69,51,83,1
93,87,24,55,20,21,8,19,27,39,15,23,99,77,61,82,74,31,89,0
81,93,92,62,100,67,28,2,61,41,58,78,11,48,1,62,76,83,23,1
64,56,5,84,79,77,68,10,77,26,82,61,25,77,3,48,6,58,59,0
75,47,84,69,100,17,20,39,47,41,8,92,79,31,3,52,24,12,64,1
68,87,68,13,4,34,66,54,34,73,80,96,45,39,91,83,3,92,67,0
18,17,46,68,15,39,56,92,93,6,12,39,2,9,41,57,29,75,78,1
77,99,54,54,87,25,27,75,46,88,17,35,99,85,1,67,42,57,16,0
87,98,11,69,97,5,38,70,5,50,21,42,7,33,49,30,17,83,91,0
95,31,32,22,82,38,30,82,56,17,63,22,15,38,14,65,70,80,47,1
77,84,90,15,8,21,67,61,58,76,100,90,40,8,4,93,65,97,86,1
4,2,17,9,98,12,74,60,95,17,38,18,28,63,67,90,11,34,96,0
73,60,8,25,68,10,94,84,43,68,59,59,58,52,87,24,65,65,9,1
30,32,75,49,26,19,100,61,48,28,9,47,51,98,71,31,29,7,3,1
39,23,91,20,96,73,91,20,7,15,9,100,67,87,5,61,43,97,44,1
13,69,37,62,77,61,9,30,12,65,96,52,1,4,95,56,9,61,97,1
4,28,85,52,11,90,2,60,91,79,85,54,32,71,87,74,61,85,16,0
22,98,54,64,72,33,59,38,26,34,4,40,9,50,1,56,89,9,16,0
21,91,19,40,41,76,51,82,98,17,40,81,85,21,79,39,96,13,90,0
9,52,27,42,92,59,40,74,6,97,9,11,30,69,52,99,41,27,30,0
9,13,51,63,28,35,68,52,69,73,31,7,96,99,61,69,81,92,84,1
13,49,18,58,81,72,17,10,100,78,49,69,88,72,10,80,33,26,57,0
83,23,93,61,50,37,48,96,38,2,53,14,63,29,13,28,9,25,20,1
69,89,95,57,100,90,13,59,5,41,96,28,46,45,1,46,26,12,27,1
74,35,27,37,45,20,3,68,1,4,35,77,49,52,73,83,67,12,6,0
22,74,62,93,95,74,44,5,52,29,59,9,59,98,29,81,100,35,18,0
4,94,75,30,75,80,78,34,89,88,5,97,55,7,47,81,34,86,8,0
3,9,10,60,20,33,64,53,82,16,50,92,94,75,41,30,58,86,30,0
3,21,34,11,32,13,42,73,10,35,80,28,84,71,91,69,20,13,32,1
93,43,1,72,47,84,10,61,41,56,13,23,57,30,49,80,4,88,38,1
89,50,54,36,67,23,36,12,71,26,90,12,93,38,31,52,4,15,99,1
62,56,23,25,9,3,64,12,40,77,13,30,86,74,4,2,100,26,17,1
36,15,7,56,41,14,59,17,21,54,11,1,85,73,57,11,47,33,86,0
29,14,8,81,26,43,86,74,72,6,93,11,29,20,52,47,98,7,11,1
82,100,19,95,74,84,60,24,4,99,72,82,62,5,39,97,43,87,99,1
73,83,44,26,42,78,34,37,80,42,83,48,86,22,63,43,78,36,18,0
81,12,17,64,25,23,16,40,43,98,24,21,24,84,50,91,44,79,47,0
65,89,39,45,94,34,69,31,65,76,71,52,98,90,2,9,39,70,78,1
36,62,32,23,17,81,84,11,97,72,16,28,64,59,96,50,18,98,65,1
31,57,30,60,62,56,100,79,60,70,29,52,67,31,26,45,43,16,72,0
46,10,30,99,64,70,36,77,91,87,36,85,88,41,12,21,37,4,90,0
55,50,10,77,31,63,77,34,21,22,54,54,67,50,51,90,15,90,99,0
97,4,16,68,57,18,48,51,65,68,43,54,47,6,86,17,68,40,34,1
69,97,79,74,66,80,70,12,71,79,59,49,19,25,1,83,35,68,57,0
100,65,44,91,16,27,32,57,14,97,80,48,96,67,27,29,81,12,29,0
23,100,72,58,16,49,68,22,81,89,81,35,48,21,23,10,77,96,19,1
79,71,42,54,24,58,29,80,54,63,95,30,48,13,96,38,82,29,42,0
4,93,83,86,91,83,8,53,24,12,52,48,85,39,54,9,15,16,56,0
55,56,38,30,77,60,18,73,26,10,32,93,40,15,58,96,70,50,39,1
12,80,50,70,88,98,38,49,45,47,27,44,36,97,52,31,86,12,54,1
90,4,9,77,43,12,78,100,14,47,56,25,63,30,70,15,43,2,75,0
5,20,14,82,13,36,50,70,6,46,73,87,1,53,61,84,63,31,65,1
23,81,93,10,28,51,93,24,36,92,54,92,28,59,95,75,76,27,68,1
5,56,43,55,73,40,7,19,90,16,3,6,34,83,77,43,60,24,99,1
16,44,66,61,13,44,65,93,97,31,84,16,75,86,56,68,19,61,64,1
69,75,19,8,9,79,52,9,18,16,55,37,47,54,82,36,64,76,4,1
81,4,23,55,77,88,70,59,26,20,54,33,65,69,19,32,13,96,59,1
11,42,48,35,44,9,76,32,30,100,19,96,32,51,98,54,3,14,1,1
76,81,69,31,90,74,10,93,87,98,9,84,51,63,14,44,11,2,17,1
89,13,79,82,20,19,64,95,11,40,43,67,97,17,85,97,24,65,7,0
12,49,19,85,40,24,71,4,46,52,67,83,10,88,24,36,51,20,23,0
92,26,22,85,45,83,92,38,68,83,35,71,76,49,6,33,24,28,33,1
24,1,50,37,65,35,43,54,26,44,20,62,75,86,52,94,2,92,93,0
76,65,3,24,64,42,22,77,95,21,78,38,54,28,89,94,22,19,86,1
24,62,43,44,47,59,17,67,96,65,64,79,83,3,21,38,14,25,27,1
49,76,80,77,60,92,76,85,18,66,67,31,43,72,26,24,50,82,16,0
84,79,79,38,48,17,38,35,100,22,23,98,61,2,45,38,59,68,81,0
37,30,58,64,67,77,23,81,17,66,22,97,6,38,53,33,4,98,24,1
8,97,8,1,48,77,3,5,33,4,88,46,24,91,3,80,95,74,87,1
54,92,46,52,83,9,9,83,70,6,12,27,49,37,78,59,62,91,32,1
14,88,76,13,88,90,28,40,84,23,47,35,58,99,74,94,1,19,5,0
55,10,96,9,39,29,86,48,22,23,67,72,24,50,71,18,99,40,83,0
44,65,63,75,37,81,29,44,31,93,1,95,30,59,81,57,44,89,39,1
7,35,67,26,60,56,87,24,93,14,62,72,87,97,65,4,50,58,37,0
79,91,61,72,61,15,21,88,45,73,85,23,37,56,100,17,93,36,47,1
23,73,66,92,35,45,67,51,63,51,96,57,37,93,1,35,49,4,97,1
8,50,36,36,88,18,85,32,56,95,97,62,1,83,55,83,37,2,63,1
43,55,20,65,84,49,82,27,37,12,67,53,63,42,99,5,23,19,28,0
41,60,32,51,7,57,87,29,60,76,8,14,37,25,4,69,47,29,78,0
2,47,44,56,69,70,35,41,72,58,32,87,21,77,88,21,23,93,11,0
48,7,81,60,79,42,4,6,39,72,54,55,30,9,56,22,54,50,18,0
61,49,43,11,61,9,94,82,50,12,24,100,49,95,94,6,16,47,86,1
33,1,4,63,57,69,18,21,56,97,58,85,71,67,21,17,74,47,91,1
21,13,61,35,12,55,68,90,53,36,42,66,89,2,44,37,53,86,43,0
68,31,60,64,56,25,78,49,97,54,2,48,42,29,59,91,79,87,7,0
6,81,54,96,22,55,59,23,32,9,33,75,31,14,5,33,3,17,4,0
43,80,5,75,98,22,77,80,19,28,62,36,6,71,18,100,23,85,68,1
51,97,43,55,42,67,66,46,99,93,12,99,49,18,17,48,68,43,54,1
44,1,3,79,7,32,24,19,56,4,97,42,1,28,20,46,67,22,75,1
83,93,55,19,95,28,68,83,36,30,35,11,21,3,26,32,23,69,1,1
45,43,15,29,80,31,29,85,62,41,67,59,61,27,32,95,4,36,17,0
56,27,73,78,26,26,37,35,89,58,3,65,54,95,43,63,4,53,71,0
78,69,53,24,64,32,24,80,67,1,5,66,78,91,96,3,33,17,35,0
54,90,100,27,77,24,69,9,4,7,91,48,30,25,34,12,25,21,8,0
7,84,91,33,28,16,36,52,62,61,71,14,99,6,56,37,52,97,13,0
94,49,48,97,58,40,55,8,85,100,54,68,60,51,52,54,62,60,83,1
90,3,72,95,49,95,7,89,98,99,12,4,99,74,1,18,11,12,12,0
41,38,51,80,28,6,32,89,95,85,51,67,30,21,74,4,24,40,16,1
33,34,30,36,93,7,46,90,32,45,62,95,92,49,71,93,21,75,90,1
46,92,64,4,70,64,64,66,90,70,58,86,24,43,8,52,63,27,87,1
14,10,40,18,3,53,61,43,14,66,43,86,18,51,55,56,44,73,33,0
72,53,17,40,41,90,67,96,32,74,25,68,18,63,79,62,96,83,7,1
80,88,37,69,41,86,40,96,15,32,80,74,27,93,24,4,24,10,1,0
65,40,99,49,26,43,60,46,34,76,38,21,72,27,32,74,61,50,65,1
46,36,6,14,64,89,36,4,11,52,82,92,7,56,32,76,95,15,31,0
69,67,96,31,36,42,19,34,5,42,95,53,12,18,44,12,23,48,86,1
79,42,58,59,51,65,50,62,92,10,12,95,84,59,87,65,74,17,29,0
26,68,89,58,73,63,60,4,61,36,52,82,50,71,3,4,9,77,72,1
3,73,70,59,15,48,62,81,40,26,99,31,6,73,16,85,98,21,42,0
28,61,45,70,52,90,2,84,86,27,58,96,52,99,100,45,38,34,67,0
4,37,26,29,24,83,48,99,26,20,35,51,39,28,79,5,49,19,54,1
67,50,93,89,99,15,33,47,54,5,76,87,53,42,41,45,27,19,54,1
25,28,1,8,74,40,90,95,82,38,4,33,83,31,34,36,62,25,2,1
12,79,54,88,89,6,30,3,37,65,87,62,25,45,6,59,48,38,65,0
59,57,53,46,26,95,23,32,26,14,43,58,3,33,49,24,56,78,72,1
89,22,60,92,24,74,20,98,31,77,98,73,42,64,43,68,45,3,99,1
79,86,76,61,85,2,57,43,84,26,88,72,88,43,61,85,69,85,86,1
21,9,17,93,82,83,44,52,71,10,76,74,59,5,23,93,39,71,42,1
36,89,82,54,9,20,4,81,95,23,66,43,67,31,86,73,74,85,69,0
59,6,60,83,45,55,97,46,88,4,61,68,95,82,26,35,53,57,82,0
18,2,5,72,100,34,14,83,44,60,33,97,5,21,53,52,14,17,74,0
81,16,71,85,25,70,59,21,38,10,100,32,67,29,7,45,52,65,72,0
63,52,64,76,6,78,65,56,92,90,9,25,88,2,42,36,96,63,96,1
32,78,39,63,14,33,36,40,77,67,73,37,30,32,18,22,42,66,72,0
20,28,64,78,93,34,28,26,17,64,42,32,94,41,71,65,33,83,13,0
30,85,60,32,71,42,6,99,39,92,54,8,93,39,71,25,41,71,23,1
33,36,37,72,68,25,69,60,43,87,65,33,91,15,35,73,53,44,25,1
31,3,76,40,74,52,84,15,31,62,76,55,61,53,47,58,50,53,48,1
50,9,83,44,96,97,4,38,8,98,98,50,29,45,40,50,43,7,51,1
62,68,77,67,98,24,51,95,48,53,20,46,59,65,85,9,68,57,100,1
75,83,100,65,78,72,3,92,100,84,41,83,63,45,40,45,64,46,28,1
66,11,59,80,92,14,36,84,93,97,48,21,51,10,45,76,32,96,73,0
31,59,61,3,93,93,31,64,61,84,8,20,4,78,83,87,71,68,19,0
38,96,100,33,40,94,3,96,11,81,47,84,47,87,20,28,39,65,12,1
27,1,73,53,55,41,51,82,75,99,94,16,99,9,69,97,25,42,72,0
72,96,32,33,42,32,27,49,8,70,65,22,6,31,96,63,26,94,81,0
83,67,45,63,94,90,5,21,50,66,53,45,87,6,50,45,93,40,94,1
72,20,58,40,67,92,91,84,31,35,45,81,71,68,35,60,63,7,56,0
27,70,7,87,73,55,86,57,29,41,51,54,99,21,94,97,88,53,62,1
